Block,Primary Type,Location Description,Arrest,Domestic,Latitude,Longitude,Location,,,,
046XX S DAMEN AVE,THEFT,COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,41.80933153,-87.67510649,"(41.80933153473259, -87.67510648548205)",,,,
080XX S HARPER AVE,THEFT,STREET,FALSE,FALSE,41.74946329,-87.58729453,"(41.7494632931285, -87.58729453135464)",,,,
122XX S ELIZABETH ST,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,41.67145645,-87.65281317,"(41.67145645194593, -87.65281316688223)",,,,
003XX W 109TH PL,CRIMINAL DAMAGE,RESIDENCE,FALSE,FALSE,41.69532489,-87.63152231,"(41.69532488845125, -87.63152230781448)",,,,
086XX S CARPENTER ST,WEAPONS VIOLATION,SIDEWALK,TRUE,FALSE,41.7376278,-87.6495979,"(41.73762779607153, -87.6495978988776)",,,,
028XX W WARREN BLVD,BATTERY,ALLEY,TRUE,FALSE,41.88187206,-87.69727699,"(41.88187205860758, -87.69727699447286)",,,,
079XX S LANGLEY AVE,THEFT,STREET,FALSE,FALSE,41.75105734,-87.60780217,"(41.751057336031, -87.60780216779247)",,,,
025XX W FULTON ST,THEFT,CONSTRUCTION SITE,TRUE,FALSE,41.88671987,-87.68917151,"(41.886719867428695, -87.68917150683639)",,,,
105XX S PRAIRIE AVE,ASSAULT,RESIDENCE,TRUE,TRUE,41.70232203,-87.61714264,"(41.702322027251014, -87.61714263783408)",,,,
0000X N STATE ST,THEFT,DEPARTMENT STORE,TRUE,FALSE,41.88213968,-87.6279798,"(41.882139676608865, -87.62797979617832)",,,,
085XX S SAGINAW AVE,ASSAULT,RESIDENCE,TRUE,FALSE,41.73997225,-87.56012527,"(41.739972248890126, -87.5601252713051)",,,,
098XX S EWING AVE,CRIMINAL DAMAGE,GROCERY FOOD STORE,TRUE,FALSE,41.71601094,-87.53513243,"(41.716010937409465, -87.53513243062108)",,,,
007XX W 79TH ST,CRIMINAL TRESPASS,GROCERY FOOD STORE,TRUE,FALSE,41.75076297,-87.64332381,"(41.75076296865797, -87.64332380679916)",,,,
096XX S SANGAMON ST,CRIMINAL TRESPASS,STREET,TRUE,FALSE,41.71886105,-87.64665044,"(41.718861053733036, -87.64665043824618)",,,,
018XX S ST LOUIS AVE,CRIMINAL DAMAGE,ALLEY,FALSE,FALSE,41.85670741,-87.71285548,"(41.856707412474236, -87.71285548113357)",,,,
001XX N STATE ST,THEFT,DEPARTMENT STORE,TRUE,FALSE,41.8834801,-87.6277337,"(41.8834800988906, -87.627733699563)",,,,
020XX S PULASKI RD,DECEPTIVE PRACTICE,CTA TRAIN,TRUE,FALSE,41.85394133,-87.72467585,"(41.853941330782966, -87.72467584726652)",,,,
068XX S ASHLAND AVE,DECEPTIVE PRACTICE,RESTAURANT,TRUE,FALSE,41.76882791,-87.66406527,"(41.768827905797096, -87.66406527187037)",,,,
047XX S KEDZIE AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,41.80798202,-87.70411927,"(41.80798201927476, -87.70411927486461)",,,,
004XX E SOUTH WATER ST,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,41.88663212,-87.61735737,"(41.88663212382597, -87.6173573664093)",,,,
