Block, Primary Type, Description, Location, Description, Arrest, Domestic, Count, Latitude, Longitude, Unemployed, House, Education, Street_Crime, Label
BLANK,BLANK, HAYWARD ,Outside, HAYWARD ,FALSE,TRUE,8,37.611, -122.097,553,366138,49,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,TRUE,FALSE,7,37.576, -121.881,53,1524089,90,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,TRUE,4,37.557, -121.897,53,1524089,90,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,2,37.835, -122.258,539,569933,77,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,TRUE,33,37.743, -122.152,707,450489,49,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,FALSE,23,37.755, -122.195,672,292067,48,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,TRUE,TRUE,17,37.745, -121.604,425,584212,55,1,1 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,FALSE,TRUE,3,37.627, -121.912,53,1524089,90,0,0 
BLANK,BLANK, HAYWARD ,Outside, HAYWARD ,TRUE,FALSE,2,37.619, -122.032,652,374005,70,0,0 
BLANK,BLANK, SUNOL ,Outside, SUNOL ,TRUE,TRUE,1,37.556, -121.886,53,1524089,90,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,FALSE,4,37.642, -121.716,224,838883,74,0,0 
BLANK,BLANK, LIVERMORE ,Outside, LIVERMORE ,FALSE,TRUE,2,37.608, -121.673,224,838883,74,0,0 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,TRUE,FALSE,4,37.797, -122.244,736,350248,56,1,1 
BLANK,BLANK, OAKLAND ,Outside, OAKLAND ,FALSE,TRUE,3,37.801, -122.277,597,555140,96,1,1 
